leiden,n_cells,n_gses,paired_ab_fraction,paired_gd_fraction,phase4_trd_score_median,phase4_trab_score_median,phase4_trd_minus_trab_median,gdt_marker_mean,treg_marker_mean,nk_marker_mean,tcell_marker_mean,cd4_marker_mean,cd8_marker_mean,gdt_rule,nk_rule,treg_rule,cd8_rule,cd4_rule,treg_cd4_ge_cd8,treg_nk_low,simple_annotation_plus6
3,530147,30,0.2044885663787591,0.0051872405200821,-0.0335335806012153,-0.0420755892992019,0.0070427693426609,0.0,0.0,0.6590979695320129,1.162418007850647,0.3763015568256378,1.851546049118042,False,False,False,True,False,False,False,CD8_T
22,68137,30,0.3056635895328529,0.000425613103013,-0.0337272323668003,-0.0381954908370971,0.0034085325896739,0.0,0.0,1.7217072248458862,1.2292749881744385,0.485409140586853,1.2959725856781006,False,False,False,True,False,False,False,CD8_T
12,304966,30,0.3013909747316094,0.0015772250021313,-0.0329069197177886,-0.0340136624872684,-0.0003819051198661,0.0,0.0,2.129648208618164,1.297743558883667,0.0,2.506847858428955,False,False,False,True,False,False,False,CD8_T
16,262628,31,0.0614290936229191,0.003107056368704,-0.0400705225765705,-0.0411427207291126,-0.0007164422422647,0.0,0.3627763390541076,1.0201274156570437,1.2737575769424438,0.0,2.44394326210022,False,False,False,True,False,False,False,CD8_T
21,25443,29,0.0723578194395315,0.0016114451912117,-0.0493887923657894,-0.1010156720876693,0.0496662929654121,0.0,0.0,0.4400752484798431,0.0,0.1318529695272445,0.0,False,True,False,False,False,True,False,NK_cell
26,21,1,0.0,0.0,-0.037295363843441,-0.0810733810067176,0.0442795604467392,0.0,0.0,0.613910973072052,0.0,0.758529543876648,0.3969292044639587,False,True,False,False,False,True,False,NK_cell
0,231266,31,0.1044079112364117,0.0001816090562382,-0.025305863469839,-0.0534407347440719,0.0288165584206581,0.0,0.0,0.6111088395118713,0.0,0.0,0.2717048823833465,False,True,False,False,False,False,False,NK_cell
1,319540,29,0.3384020779871065,0.0003035613694686,-0.0397040285170078,-0.0324412174522876,-0.0080878566950559,0.0,0.7245356440544128,0.0,1.173225998878479,1.0262006521224976,0.0,False,False,True,False,True,True,True,Treg
14,19705,29,0.1257041360060898,0.4093884800811976,0.4813214540481567,-0.0535392239689827,0.5390191674232483,0.3345482349395752,0.0,0.0,1.9430385828018188,0.8090500831604004,0.0,True,False,False,False,True,True,True,gdT_cell
23,6136,18,0.0247718383311603,0.0032594524119947,-0.0585503950715065,-0.096307024359703,0.0333710461854934,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,True,other
20,13956,27,0.1905273717397535,0.0209229005445686,-0.0256383065134286,-0.052821010351181,0.0295810122042894,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,True,other
