old_path,new_path,category,reason,operation,status,sha256,recorded_at
plot_standalone_phase4_tissue_source_scatter.py,workflows/reporting/plot_standalone_phase4_tissue_source_scatter.py,reporting,Standalone reporting,apply,moved,0e2a045d836743fdd0e49c00f9dd11dd34bc3cbffd13644c4864470c1e1e8ea5,2026-07-15T17:48:39.350348+08:00
plus6_parallel_pipeline.py,workflows/integration/build_extended_atlas.py,integration,Retire ambiguous plus6 entrypoint name,apply,moved,cd0b2f63067bae748ac3a5cf2a4e3934457995f7cc78fc7f1332ce85fd800fe5,2026-07-15T17:48:39.373009+08:00
predict_with_gdtai_v2.py,workflows/gdtai/predict_with_gdtai_v2.py,gdtai,Stable gdTAI v2 inference,apply,moved,15f595d870d8063d7ac3b8cd162ca69b05e46f36e8e2329af583c352f2c33479,2026-07-15T17:48:39.386172+08:00
predict_with_selected_gdt_model.py,workflows/gdtai/predict_with_selected_gdt_model.py,gdtai,Legacy selected-model inference,apply,moved,bfe5daec682176e008b83a18e8ac960ef7e0a56efbed3835ab715ef214f1c445,2026-07-15T17:48:39.401223+08:00
process_hra005041_tcr_intake.py,workflows/intake/process_hra005041_tcr_intake.py,intake,External intake,apply,moved,d262314da70ce0b13c3061c5b092581bf501211f8068649872c744d6f8eb2af4,2026-07-15T17:48:39.414787+08:00
process_sorted_gdt_rds_intake.py,workflows/intake/process_sorted_gdt_rds_intake.py,intake,Sorted gdT intake,apply,moved,35f66e734439cb3318d22b8539129bde4762df468fbe62f082356e22c4de8c51,2026-07-15T17:48:39.432059+08:00
promote_gdtai_v3_and_build_predicted_gdt_atlas.py,workflows/gdtai/promote_gdtai_v3_and_build_predicted_gdt_atlas.py,gdtai,Model promotion,apply,moved,aafb9fddb38786ba5ab13f069b89ad446cbac94e01348627bf08ba0613897bc2,2026-07-15T17:48:39.446469+08:00
refresh_phase3_phase4_training_report_assets.py,workflows/reporting/refresh_phase3_phase4_training_report_assets.py,reporting,Report refresh,apply,moved,bd2007aa5cd745927df817522a7df1af420499d01681164b80811474cf5c55a9,2026-07-15T17:48:39.461003+08:00
refresh_phase4_raw_report_scatter_panels.py,workflows/reporting/refresh_phase4_raw_report_scatter_panels.py,reporting,Report refresh,apply,moved,c4079314988a5174bbfff8331aeffcd5264d7d1e98830def6601b8e6b130888c,2026-07-15T17:48:39.472082+08:00
remove_10x3_samples_from_milestones.py,workflows/maintenance/remove_10x3_samples_from_milestones.py,maintenance,Milestone curation,apply,moved,f677f334bdc2a7439b5cbdd0e37b5dc4a287987a506b60a6f73112fb71d9134c,2026-07-15T17:48:39.483714+08:00
remove_no_tcr_gene_gses_from_milestones.py,workflows/maintenance/remove_no_tcr_gene_gses_from_milestones.py,maintenance,Milestone curation,apply,moved,d939877df3c89c6fe6c737f4d76e0eaccc61e2c6bc1b6bad6c22fb341ec29da9,2026-07-15T17:48:39.498822+08:00
render_gdtai_v3_clear_report.py,workflows/gdtai/render_gdtai_v3_clear_report.py,gdtai,gdTAI report rendering,apply,moved,10cd59c382ea3c0e67ae2e687de8739e99e42e463ab021017dcb259a194ff839,2026-07-15T17:48:39.513675+08:00
render_plus6_final_report.py,workflows/reporting/render_extended_atlas_report.py,reporting,Retire ambiguous plus6 entrypoint name,apply,moved,c526375c28ee21b9c526bea8a590c83f4d2eeb9bbc5253d185d839041a7862dc,2026-07-15T17:48:39.534100+08:00
repair_flagged_gse_tcr_and_phase4_qc.py,workflows/intake/repair_flagged_gse_tcr_and_phase4_qc.py,intake,Per-dataset repair,apply,moved,e52bbc1f62d25d41a97eb5e9bb61eb294b3c7ce4dfe4bb5ada9a3eb425df79fe,2026-07-15T17:48:39.551857+08:00
repair_h5ad_drop_current_only_noncoding.py,workflows/intake/repair_h5ad_drop_current_only_noncoding.py,intake,Per-dataset repair,apply,moved,2a8302042a6a0e964db35d1d96565a12bff0f676cb16614dcfa6401283095637,2026-07-15T17:48:39.567237+08:00
repair_h5ad_from_raw.py,workflows/intake/repair_h5ad_from_raw.py,intake,Per-dataset repair,apply,moved,d5ea4a4eabad7297228a19a0893cad7536ed6c1ff7bba1d3c4153bc49bbbb5f3,2026-07-15T17:48:39.582712+08:00
repair_h5ad_from_selected_inputs.py,workflows/intake/repair_h5ad_from_selected_inputs.py,intake,Per-dataset repair,apply,moved,c79cf1c2a507f075091a3388b45297ce20e1fe806ce224ede63ef4659a866638,2026-07-15T17:48:39.591268+08:00
replace_validated_tcr_in_project_objects.py,workflows/intake/replace_validated_tcr_in_project_objects.py,intake,TCR propagation,apply,moved,4919a2917d5e50edd264175cea82fbb6637db047e01857895aa4caffa9d79fec,2026-07-15T17:48:39.608091+08:00
run_gdt_atlas_curated_phenotype_analysis.py,workflows/gdt_atlas/run_gdt_atlas_curated_phenotype_analysis.py,gdt_atlas,gdT atlas analysis,apply,moved,49b70908179b7396200a7a5ac3c99bfee019551006457eb32fcc93a4315bebc5,2026-07-15T17:48:39.620566+08:00
run_gdt_atlas_rigorous_reanalysis.py,workflows/gdt_atlas/run_gdt_atlas_rigorous_reanalysis.py,gdt_atlas,gdT atlas analysis,apply,moved,3171b1dc186c65f1f7f6d86d7b1dfcc0cec7516252e55b6c08e42defb694c0a2,2026-07-15T17:48:39.633279+08:00
run_gdt_atlas_tumor_type_audit.py,workflows/gdt_atlas/run_gdt_atlas_tumor_type_audit.py,gdt_atlas,gdT atlas audit,apply,moved,d5a56ecd31caf847a91b0fc13faff299a31df911591e18d72fa2e33d5182f1ff,2026-07-15T17:48:39.650808+08:00
run_gdt_classifier_failure_mode_audit.py,workflows/gdtai/run_gdt_classifier_failure_mode_audit.py,gdtai,Classifier audit,apply,moved,93324897bd9e2cf5daa8e7db32fcf8b3b77503fd814f1e72de6e553cadbe671b,2026-07-15T17:48:39.671439+08:00
run_gdt_deg_tcr_classifier_training.py,workflows/gdtai/run_gdt_deg_tcr_classifier_training.py,gdtai,Classifier training,apply,moved,11678e90ae9fa8d21667cbecc78fcb6ab382a451c55c14c20237e9f6f3afccdd,2026-07-15T17:48:39.695092+08:00
run_gdt_gse144469_holdout_tcrgene_classifier.py,workflows/gdtai/run_gdt_gse144469_holdout_tcrgene_classifier.py,gdtai,Classifier training,apply,moved,dcf840d390fdb08ebef1182ffe9e99f013cd8af03ecbfd324749b0c21a5bcda8,2026-07-15T17:48:39.713616+08:00
run_gdt_prediction_package_evaluation.py,workflows/gdtai/run_gdt_prediction_package_evaluation.py,gdtai,Classifier evaluation,apply,moved,2792d546703be47278e9cde25c624d076938d09ad3536e2d0d6cca2306eeaffe,2026-07-15T17:48:39.728523+08:00
run_gdtai_annotation_specific_cascade.py,workflows/gdtai/run_gdtai_annotation_specific_cascade.py,gdtai,Classifier experiment,apply,moved,7db76558e25921a851248ccf22c5829c5eb09dfc2c8b209512d0c9f07099e0b2,2026-07-15T17:48:39.742018+08:00
run_gdtai_annotation_specific_tp_fn_audit.py,workflows/gdtai/run_gdtai_annotation_specific_tp_fn_audit.py,gdtai,Classifier audit,apply,moved,0a01b9812d93453216795004d9fe0c06af38845d24965fd036a73d2cb4165556,2026-07-15T17:48:39.753158+08:00
run_gdtai_multiguard_classifier.py,workflows/gdtai/run_gdtai_multiguard_classifier.py,gdtai,Classifier experiment,apply,moved,67de88f942cb594e6bb90e765eef98418b049a2ebc65bdd45212858e0686d823,2026-07-15T17:48:39.762545+08:00
run_gdtai_nk_optimized_gdt_atlas.py,workflows/gdt_atlas/run_gdtai_nk_optimized_gdt_atlas.py,gdt_atlas,gdT atlas construction,apply,moved,daa6f63c18bc92689a4826bcea77aa6d4af063a5e693c3d809ee47c87db3dfe7,2026-07-15T17:48:39.777025+08:00
run_gdtai_nkguard_classifier.py,workflows/gdtai/run_gdtai_nkguard_classifier.py,gdtai,Classifier experiment,apply,moved,883aa220eb64a2136e17596302bf6c9b7d33ed6d17dc5e400cc9d84b3a18872b,2026-07-15T17:48:39.798529+08:00
run_gdtai_transcriptome_gate_cascade.py,workflows/gdtai/run_gdtai_transcriptome_gate_cascade.py,gdtai,Classifier experiment,apply,moved,e936658521848da836979d8eb14d1db15d7ef9db4494a1795ee48923d5bdff6b,2026-07-15T17:48:39.815572+08:00
run_gdtai_v3_trdc_nk_failure_audit.py,workflows/gdtai/run_gdtai_v3_trdc_nk_failure_audit.py,gdtai,Classifier audit,apply,moved,a911a29396b96a6b0ce201556edbc9250598ed937a9ce2a4e12eb550ddefc560,2026-07-15T17:48:39.827250+08:00
run_gdtai_v3_trdc_nk_guard_classifier.py,workflows/gdtai/run_gdtai_v3_trdc_nk_guard_classifier.py,gdtai,Promoted classifier training,apply,moved,e6e8a676890720fb24d9718c0db79c32e9cf457572866a61ade476ad4b3443e5,2026-07-15T17:48:39.849125+08:00
run_gdtai_v4_tcell_gate_classifier.py,workflows/gdtai/run_gdtai_v4_tcell_gate_classifier.py,gdtai,Experimental classifier training,apply,moved,5640d346820ea8eafcbe1175d4199021450aafef3663064c4ed73832b7733d8f,2026-07-15T17:48:39.869116+08:00
run_tn_fn_trd_gt0p1_deg_reproducibility.py,workflows/gdtai/run_tn_fn_trd_gt0p1_deg_reproducibility.py,gdtai,Classifier feature analysis,apply,moved,552fe384c508c0d29218754b5e662cd8091a596463a0e5b297d30699ec597c4a,2026-07-15T17:48:39.883429+08:00
run_trd_gt0p1_high_no_ab_vs_low_ab_deg_reproducibility.py,workflows/gdtai/run_trd_gt0p1_high_no_ab_vs_low_ab_deg_reproducibility.py,gdtai,Classifier feature analysis,apply,moved,d4ed5cc4a6dcf04828b6775318f0592d8059b9486a675020cfa7414343ea88dd,2026-07-15T17:48:39.898449+08:00
supplementary_10x5_phase01.py,workflows/intake/supplementary_10x5_phase01.py,intake,Supplementary intake,apply,moved,d32e04446e95d1e6438363a4e766311d18f0f79c8a9c6da33bcaa0a77788b037,2026-07-15T17:48:39.915775+08:00
tissue_correction_workflow.py,workflows/metadata/tissue_correction_workflow.py,metadata,Metadata harmonization,apply,moved,1497c21ae3ef8e846ded7ccf7c36950b71a6e4b7fe1aca78da9748a724a04122,2026-07-15T17:48:39.929323+08:00
validate_supplementary_10x5_schema.py,workflows/intake/validate_supplementary_10x5_schema.py,intake,Supplementary validation,apply,moved,57e919d4120a6e6d34761221efa9fea3d1902541e0c8c8e7d5301a724c8d0eb5,2026-07-15T17:48:39.942387+08:00
watch_h5ad_v2_and_resume.py,workflows/maintenance/watch_h5ad_v2_and_resume.py,maintenance,Legacy recovery monitor,apply,moved,bc948a0f98f2ec5fb3101152716b2fed2ecb46d47df22ff13b753c83df3ec67b,2026-07-15T17:48:39.943733+08:00
